,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),day_range,day_range_pct,oc_range,oc_range_pct
129,2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,22643.82,142.40000000000146,0.8014182401440834,22.599999999998545,0.12719137800038577
134,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93,108.45000000000073,0.5940187325409472,0.7999999999992724,0.004381880922381949
139,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29,295.25,1.6475085095697783,164.0,0.9151275040455332
143,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64,315.75,1.8506036806939397,48.150000000001455,0.2822060719728136
148,2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,20373.06,270.0,1.5196071534099704,207.54999999999927,1.1681276470008823
153,2022-02-10,17554.1,17639.45,17427.15,17605.85,273606440,22210.93,212.29999999999927,1.2094040708438443,51.75,0.2948029235335335
158,2022-02-17,17396.55,17442.9,17235.85,17304.6,232136131,19381.26,207.0500000000029,1.1901785124062123,91.95000000000073,0.5285530751787034
163,2022-02-24,16548.9,16705.25,16203.25,16247.95,457967874,36650.83,502.0,3.033434246384956,300.9500000000007,1.8185498734054875
167,2022-03-03,16723.2,16768.95,16442.95,16498.05,442068263,31413.0,326.0,1.949387676999617,225.15000000000146,1.3463332376578732
172,2022-03-10,16757.1,16757.3,16447.9,16594.9,486445481,35513.73,309.3999999999978,1.8463815337976013,162.1999999999971,0.9679479146152801
177,2022-03-17,17202.9,17344.6,17175.75,17287.05,448335248,35367.28,168.84999999999854,0.9815205575803994,84.14999999999782,0.4891617111068355
181,2022-03-24,17094.95,17291.75,17091.15,17222.75,290280124,25011.72,200.59999999999854,1.1734459591867688,127.79999999999927,0.7475892003193884
186,2022-03-31,17519.2,17559.8,17435.2,17464.75,281111679,24032.07,124.59999999999854,0.7112196903968134,54.45000000000073,0.3108018630987758
191,2022-04-07,17723.3,17787.5,17623.7,17639.55,308840215,26236.91,163.79999999999927,0.9242071171847188,83.75,0.47254179526386175
199,2022-04-21,17234.6,17414.7,17215.5,17392.6,285200022,24999.9,199.20000000000073,1.155814466248133,158.0,0.9167604702168893
204,2022-04-28,17189.5,17322.5,17071.05,17245.05,312914417,28488.87,251.45000000000073,1.4628116001047193,55.54999999999927,0.32316239564850213
208,2022-05-05,16854.75,16945.7,16651.85,16682.65,265793403,21792.91,293.8500000000022,1.7434254438659855,172.09999999999854,1.0210771444251534
213,2022-05-12,16021.1,16041.95,15735.75,15808.0,314921678,25352.34,306.2000000000007,1.911229566009829,213.10000000000036,1.330120903059093
218,2022-05-19,15917.4,15984.75,15775.2,15809.4,313876082,24340.84,209.54999999999927,1.3164838478645964,108.0,0.6785027705529798
223,2022-05-26,16105.0,16204.45,15903.7,16170.15,314305739,27721.21,300.75,1.8674324743868365,65.14999999999964,0.4045327538031645
228,2022-06-02,16481.65,16646.4,16443.05,16628.0,235958283,20055.84,203.35000000000218,1.2337963735427107,146.34999999999854,0.8879572130217456
233,2022-06-09,16263.85,16492.8,16243.85,16478.1,204954394,16721.68,248.9499999999989,1.5306953765559748,214.24999999999818,1.317338760502576
238,2022-06-16,15832.25,15863.15,15335.1,15360.6,264735957,21383.06,528.0499999999993,3.335280835004496,471.64999999999964,2.979045934721847
