"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Dec-2022","EQ","85.10","87.50","84.90","84.55","86.30","86.30","86.22","87.50","40.40",16512468,"1,423,740,107.00",54690
"02-Dec-2022","EQ","82.50","85.70","82.50","83.10","84.80","84.55","84.27","85.70","40.40",19118072,"1,611,066,269.95",48147
"01-Dec-2022","EQ","82.55","84.00","80.15","82.30","83.10","83.10","82.01","85.50","40.40",16662882,"1,366,483,876.00",45243
"30-Nov-2022","EQ","84.20","85.00","81.80","83.75","82.05","82.30","83.10","85.50","40.40",10057927,"835,846,523.25",30351
"29-Nov-2022","EQ","81.60","85.50","81.15","81.25","83.80","83.75","83.64","85.50","40.40",22577829,"1,888,402,657.65",54611
"28-Nov-2022","EQ","81.80","83.15","79.70","81.80","81.70","81.25","81.39","84.60","40.40",11460216,"932,754,190.55",34766
"25-Nov-2022","EQ","82.05","84.60","81.00","81.30","81.70","81.80","82.59","84.60","40.40",17424428,"1,439,033,493.75",53379
"24-Nov-2022","EQ","79.60","83.25","79.60","79.35","81.70","81.30","81.91","83.25","40.40",26150814,"2,142,051,863.50",62499
"23-Nov-2022","EQ","81.00","81.00","78.35","80.45","78.80","79.35","79.78","81.00","40.40",18982148,"1,514,313,717.40",49669
"22-Nov-2022","EQ","78.50","80.95","77.35","77.10","80.50","80.45","79.23","80.95","40.40",28943108,"2,293,244,871.05",62408
"21-Nov-2022","EQ","75.00","78.40","74.65","75.10","77.20","77.10","76.98","78.40","40.40",19948870,"1,535,668,841.85",48806
"18-Nov-2022","EQ","74.70","77.90","74.00","74.30","74.70","75.10","76.06","77.90","40.40",23611698,"1,795,911,649.10",59932
"17-Nov-2022","EQ","73.85","75.35","73.40","74.05","74.10","74.30","74.43","77.70","40.40",8874301,"660,506,888.30",25024
"16-Nov-2022","EQ","74.20","75.50","73.50","74.25","73.85","74.05","74.54","77.70","40.40",10919208,"813,962,644.45",27346
"15-Nov-2022","EQ","75.50","75.50","73.50","75.05","74.20","74.25","74.33","77.70","40.40",8312658,"617,884,846.30",25809
"14-Nov-2022","EQ","74.10","76.45","72.80","74.60","75.00","75.05","74.27","77.70","40.40",12588052,"934,894,542.50",29568
"11-Nov-2022","EQ","75.35","76.00","74.00","73.70","74.30","74.60","74.73","77.70","40.40",17506025,"1,308,238,008.00",38757
"10-Nov-2022","EQ","76.00","77.50","72.25","76.95","73.85","73.70","74.09","77.70","40.40",28076509,"2,080,191,411.90",62313
"09-Nov-2022","EQ","71.25","77.70","69.40","70.65","76.85","76.95","74.71","77.70","40.40",66064082,"4,935,339,530.55",129539
"07-Nov-2022","EQ","68.90","71.00","68.10","66.95","70.25","70.65","69.93","71.00","40.40",37785088,"2,642,337,498.60",69883
"04-Nov-2022","EQ","65.40","68.00","65.35","64.00","67.50","66.95","66.66","68.00","40.40",51275333,"3,418,256,640.25",81587
"03-Nov-2022","EQ","60.80","64.80","60.30","61.00","64.20","64.00","63.34","65.80","40.40",45789813,"2,900,297,772.30",68585
"02-Nov-2022","EQ","62.00","62.15","59.25","61.80","61.05","61.00","60.49","65.80","40.40",14712379,"889,937,516.35",25645
"01-Nov-2022","EQ","60.50","62.35","60.10","60.25","61.80","61.80","61.42","65.80","40.40",22673305,"1,392,508,263.35",60927
"31-Oct-2022","EQ","59.55","60.75","58.30","58.70","60.15","60.25","59.70","65.80","40.40",17616159,"1,051,769,715.70",38563
"28-Oct-2022","EQ","57.00","59.10","56.70","57.30","58.75","58.70","58.30","65.80","40.40",20684616,"1,205,993,987.00",39530
"27-Oct-2022","EQ","56.50","58.15","55.80","56.45","57.15","57.30","57.15","65.80","40.40",16947608,"968,525,731.85",33071
"25-Oct-2022","EQ","51.10","57.55","50.50","51.25","56.00","56.45","55.19","65.80","40.40",33792078,"1,865,021,252.75",57154
"24-Oct-2022","EQ","51.00","51.70","51.00","50.50","51.25","51.25","51.33","65.80","40.40",1271612,"65,266,483.40",4619
"21-Oct-2022","EQ","49.35","52.00","49.35","49.70","50.55","50.50","51.01","65.80","40.40",7941385,"405,084,744.70",19707
"20-Oct-2022","EQ","48.20","50.00","48.10","48.55","49.70","49.70","49.07","65.80","40.40",4755561,"233,338,516.55",11929
"19-Oct-2022","EQ","48.60","49.20","48.40","48.10","48.70","48.55","48.73","65.80","40.40",4604215,"224,348,052.35",14938
"18-Oct-2022","EQ","47.20","48.95","47.10","46.90","48.05","48.10","48.14","65.80","40.40",6650448,"320,120,526.20",14845
"17-Oct-2022","EQ","46.75","47.20","46.20","46.60","46.80","46.90","46.89","65.80","40.40",3043504,"142,719,669.95",6419
"14-Oct-2022","EQ","46.90","47.30","46.30","46.30","46.40","46.60","46.78","65.80","40.40",1973949,"92,332,005.90",6227
"13-Oct-2022","EQ","47.20","47.45","46.15","47.15","46.20","46.30","46.42","65.80","40.40",1699594,"78,902,830.20",8609
"12-Oct-2022","EQ","47.15","47.80","46.90","46.90","47.20","47.15","47.20","65.80","40.40",1835280,"86,617,900.10",7979
"11-Oct-2022","EQ","47.70","47.95","46.80","47.60","47.00","46.90","47.30","65.80","40.40",1460402,"69,073,755.00",5671
"10-Oct-2022","EQ","48.20","48.40","47.50","48.85","47.65","47.60","47.84","65.80","40.40",2561677,"122,557,836.40",6850
"07-Oct-2022","EQ","48.15","49.00","48.00","48.50","48.85","48.85","48.43","65.80","40.40",1640232,"79,428,646.30",4432
"06-Oct-2022","EQ","48.50","48.95","48.30","48.00","48.50","48.50","48.61","65.80","40.40",1766243,"85,861,417.20",4730
"04-Oct-2022","EQ","48.00","48.30","47.50","47.30","47.90","48.00","47.97","65.80","40.40",3105252,"148,958,689.95",8893
"03-Oct-2022","EQ","48.15","48.40","47.05","48.20","47.15","47.30","47.71","65.80","40.40",1949872,"93,019,379.10",8219
"30-Sep-2022","EQ","47.65","49.40","47.20","48.20","48.20","48.20","48.36","65.80","40.40",4214203,"203,800,318.60",11427
"29-Sep-2022","EQ","46.55","49.75","45.85","46.10","48.50","48.20","47.50","65.80","40.40",4034029,"191,630,417.55",12475
"28-Sep-2022","EQ","46.20","47.25","46.00","46.75","46.00","46.10","46.37","65.80","40.40",2669603,"123,787,416.55",11140
"27-Sep-2022","EQ","47.85","48.20","46.25","47.40","46.85","46.75","46.96","65.80","40.40",3889659,"182,654,303.45",11250
"26-Sep-2022","EQ","49.25","49.45","46.95","49.95","47.35","47.40","47.74","65.80","40.40",3113162,"148,608,592.75",12901
"23-Sep-2022","EQ","51.20","51.45","49.50","51.20","49.85","49.95","50.35","65.80","40.40",3019475,"152,018,085.05",9101
"22-Sep-2022","EQ","51.60","52.40","51.05","51.75","51.25","51.20","51.51","65.80","40.40",4175237,"215,060,405.30",10644
"21-Sep-2022","EQ","52.35","52.75","51.60","52.20","51.70","51.75","52.11","65.80","40.40",2279941,"118,797,994.65",8478
"20-Sep-2022","EQ","52.95","53.40","52.05","52.55","52.15","52.20","52.82","65.80","40.40",4406321,"232,731,646.40",12335
"19-Sep-2022","EQ","51.25","53.15","51.00","51.10","52.55","52.55","52.42","65.80","40.40",5056765,"265,100,354.20",11535
"16-Sep-2022","EQ","52.85","52.95","50.85","53.00","51.15","51.10","51.76","65.80","40.40",4546535,"235,326,924.25",12239
"15-Sep-2022","EQ","53.50","54.45","52.60","53.05","53.00","53.00","53.39","65.80","40.40",5534460,"295,470,559.25",12954
"14-Sep-2022","EQ","51.50","53.50","51.10","52.65","53.20","53.05","52.72","65.80","40.40",6800826,"358,569,681.85",13536
"13-Sep-2022","EQ","52.75","53.25","52.40","52.45","52.50","52.65","52.84","65.80","40.40",5055236,"267,106,377.00",10791
"12-Sep-2022","EQ","52.45","52.75","52.05","52.05","52.35","52.45","52.34","65.80","40.40",4294747,"224,767,870.15",9296
"09-Sep-2022","EQ","53.00","53.40","51.70","52.60","52.00","52.05","52.73","65.80","40.40",4680889,"246,841,543.60",12908
"08-Sep-2022","EQ","51.70","53.00","51.50","51.20","52.55","52.60","52.48","65.80","40.40",7345847,"385,474,722.05",26203
"07-Sep-2022","EQ","50.70","51.45","50.60","51.00","51.20","51.20","51.15","65.80","40.40",2631352,"134,595,551.00",9137
"06-Sep-2022","EQ","51.30","51.95","50.55","50.90","51.10","51.00","51.13","65.80","40.40",4416307,"225,798,030.80",12969
"05-Sep-2022","EQ","50.90","51.80","50.60","50.90","50.80","50.90","51.12","65.80","40.40",3405749,"174,102,868.25",8296
"02-Sep-2022","EQ","51.90","52.20","50.65","51.60","50.80","50.90","51.27","68.55","40.40",1944978,"99,723,545.70",9075
"01-Sep-2022","EQ","51.55","52.70","51.35","51.90","51.70","51.60","51.94","68.55","40.40",2919668,"151,640,111.35",8997
"30-Aug-2022","EQ","51.40","52.20","51.20","50.90","51.80","51.90","51.82","68.55","40.40",2617837,"135,646,877.40",6827
"29-Aug-2022","EQ","50.70","51.40","50.00","51.90","50.85","50.90","50.85","68.55","40.40",2230074,"113,399,506.70",6930
"26-Aug-2022","EQ","52.00","53.20","51.60","51.65","51.85","51.90","52.36","68.55","40.40",4897072,"256,389,386.90",12734
"25-Aug-2022","EQ","49.95","52.40","49.75","49.55","51.55","51.65","51.70","68.55","40.40",9369040,"484,384,069.55",23214
"24-Aug-2022","EQ","48.90","49.85","48.75","49.00","49.50","49.55","49.38","68.55","40.40",1752669,"86,541,542.75",5632
"23-Aug-2022","EQ","48.50","49.15","48.30","48.75","49.15","49.00","48.83","68.55","40.40",1918402,"93,670,693.15",6199
"22-Aug-2022","EQ","49.75","49.80","48.60","49.85","48.70","48.75","48.87","68.55","40.40",1570820,"76,768,724.40",6439
