Date,Price,Open,High,Low,Volume,Chg%
"Mar 31, 2023",12.935,13.6275,13.6275,12.0725,0,-5.08%
"Mar 29, 2023",13.6275,15.1,15.1,13.32,0,-9.75%
"Mar 28, 2023",15.1,15.445,15.6075,14.865,0,-2.23%
"Mar 27, 2023",15.445,15.24,16.0925,15.0975,0,1.35%
"Mar 24, 2023",15.24,14.49,15.43,14.2025,0,5.18%
"Mar 23, 2023",14.49,14.8075,15.0575,13.9025,0,-2.14%
"Mar 22, 2023",14.8075,15.0825,15.0925,14.2425,0,-1.82%
"Mar 21, 2023",15.0825,16.0075,16.035,14.0825,0,-5.78%
"Mar 20, 2023",16.0075,14.7675,17.22,14.52,0,8.40%
"Mar 17, 2023",14.7675,16.2175,16.2175,14.6,0,-8.94%
"Mar 16, 2023",16.2175,16.295,17.355,13.95,0,-0.48%
"Mar 15, 2023",16.295,16.2175,16.505,14.5175,0,0.48%
"Mar 14, 2023",16.2175,16.215,16.6425,15.0025,0,0.02%
"Mar 13, 2023",16.215,13.4125,16.4275,13.4125,0,20.89%
"Mar 10, 2023",13.4125,12.725,13.8175,12.725,0,5.40%
"Mar 09, 2023",12.725,12.45,12.8425,11.78,0,2.21%
"Mar 08, 2023",12.45,12.2675,12.8475,11.8975,0,1.49%
"Mar 06, 2023",12.2675,12.18,12.4725,11.8375,0,0.72%
"Mar 03, 2023",12.18,12.97,12.97,11.98,0,-6.09%
"Mar 02, 2023",12.97,12.995,13.55,11.1,0,-0.19%
"Mar 01, 2023",12.995,14.02,14.02,12.275,0,-7.31%
"Feb 28, 2023",14.02,13.875,14.5675,13.5,0,1.05%
"Feb 27, 2023",13.875,14.185,15.0975,13.75,0,-2.19%
"Feb 24, 2023",14.185,15.075,15.1425,14.0075,0,-5.90%
"Feb 23, 2023",15.075,15.5875,16.01,14.5175,0,-3.29%
"Feb 22, 2023",15.5875,14.0075,15.915,12.3775,0,11.28%
"Feb 21, 2023",14.0075,13.3825,14.295,13.3825,0,4.67%
"Feb 20, 2023",13.3825,13.085,13.7075,10.9225,0,2.27%
"Feb 17, 2023",13.085,12.89,13.52,10.8025,0,1.51%
"Feb 16, 2023",12.89,12.86,13.1625,10.1725,0,0.23%
"Feb 15, 2023",12.86,13.4525,13.4525,11.28,0,-4.40%
"Feb 14, 2023",13.4525,13.68,13.68,12.4525,0,-1.66%
"Feb 13, 2023",13.68,12.745,14.095,11.83,0,7.34%
"Feb 10, 2023",12.745,13.04,13.2775,12.2075,0,-2.26%
"Feb 09, 2023",13.04,13.595,13.815,12.0625,0,-4.08%
"Feb 08, 2023",13.595,14.125,14.2475,13.535,0,-3.75%
"Feb 07, 2023",14.125,14.6875,14.875,13.665,0,-3.83%
"Feb 06, 2023",14.6875,14.3975,15.205,14.185,0,2.01%
"Feb 03, 2023",14.3975,15.7325,15.7575,14.27,0,-8.49%
"Feb 02, 2023",15.7325,16.78,17.7675,15.5075,0,-6.24%
"Feb 01, 2023",16.78,16.875,18.54,14.8475,0,-0.56%
"Jan 31, 2023",16.875,17.71,18.3675,16.565,0,-4.71%
