,Date,Price,Open,High,Low,Volume,Chg%
260,2018-04-01,14.7475,15.7575,16.485,13.01,0,-6.41%
259,2018-04-08,14.14,14.7475,15.1375,11.8075,0,-4.12%
258,2018-04-15,12.9375,14.14,14.8625,9.7425,0,-8.50%
257,2018-04-22,12.0175,12.9375,13.58,11.4375,0,-7.11%
256,2018-04-29,13.25,12.0175,13.455,10.9875,0,10.26%
255,2018-05-06,13.9775,13.25,14.82,11.0925,0,5.49%
254,2018-05-13,14.15,13.9775,14.4975,10.855,0,1.23%
253,2018-05-20,12.645,14.15,14.9425,10.8975,0,-10.64%
252,2018-05-27,13.57,12.645,14.59,11.3475,0,7.32%
251,2018-06-03,12.6975,13.57,15.47,10.8025,0,-6.43%
250,2018-06-10,12.07,12.6975,13.8975,10.43,0,-4.94%
249,2018-06-17,12.0225,12.07,13.0,9.825,0,-0.39%
248,2018-06-24,12.9375,12.0225,14.075,9.74,0,7.61%
247,2018-07-01,12.4425,12.9375,13.9425,11.225,0,-3.83%
246,2018-07-08,12.3025,12.4425,12.865,10.015,0,-1.13%
245,2018-07-15,13.535,12.3025,13.9025,10.645,0,10.02%
244,2018-07-22,12.31,13.535,13.62,11.215,0,-9.05%
243,2018-07-29,12.0775,12.31,13.0575,10.8875,0,-1.89%
242,2018-08-05,12.85,12.0775,12.985,10.0575,0,6.40%
241,2018-08-12,13.16,12.85,13.865,10.3025,0,2.41%
240,2018-08-19,12.4075,13.16,13.635,9.43,0,-5.72%
239,2018-08-26,12.5975,12.4075,12.7975,9.515,0,1.53%
238,2018-09-02,13.89,12.5975,14.2,11.085,0,10.26%
237,2018-09-09,13.8425,13.89,15.4475,12.3225,0,-0.34%
236,2018-09-16,15.535,13.8425,16.92,10.9825,0,12.23%
235,2018-09-23,16.995,15.535,18.31,13.8025,0,9.40%
234,2018-09-30,19.7325,16.995,20.4825,15.575,0,16.11%
233,2018-10-07,18.6275,19.7325,21.765,16.6725,0,-5.60%
232,2018-10-14,19.7875,18.6275,20.0525,14.28,0,6.23%
231,2018-10-21,19.2325,19.7875,22.3475,17.08,0,-2.80%
230,2018-10-28,18.23,19.2325,22.815,17.485,0,-5.21%
229,2018-11-04,17.765,18.23,19.8225,16.18,0,-2.55%
228,2018-11-11,18.35,17.765,19.685,14.77,0,3.29%
227,2018-11-18,19.16,18.35,20.0975,13.515,0,4.41%
226,2018-11-25,19.1625,19.16,20.5275,14.93,0,0.01%
225,2018-12-02,18.59,19.1625,19.6275,15.91,0,-2.99%
224,2018-12-09,15.1575,18.59,20.645,11.9125,0,-18.46%
223,2018-12-16,15.9925,15.1575,16.23,11.87,0,5.51%
222,2018-12-23,15.27,15.9925,17.4775,12.5625,0,-4.52%
221,2018-12-30,16.1625,15.27,17.1475,14.65,0,5.84%
220,2019-01-06,15.3525,16.1625,16.5725,13.895,0,-5.01%
219,2019-01-13,16.6175,15.3525,16.905,12.3075,0,8.24%
218,2019-01-20,17.69,16.6175,18.4725,12.015,0,6.45%
217,2019-01-27,15.72,17.69,19.795,14.5875,0,-11.14%
216,2019-02-03,15.5675,15.72,16.4525,12.8325,0,-0.97%
215,2019-02-10,16.46,15.5675,17.535,11.81,0,5.73%
214,2019-02-17,15.45,16.46,18.605,11.85,0,-6.14%
213,2019-02-24,16.275,15.45,19.9775,11.7,0,5.34%
212,2019-03-03,14.94,16.275,16.86,12.92,0,-8.20%
211,2019-03-10,15.865,14.94,16.3925,11.845,0,6.19%
210,2019-03-17,16.275,15.865,17.1875,12.675,0,2.58%
209,2019-03-24,17.185,16.275,17.43,14.2575,0,5.59%
208,2019-03-31,18.3925,17.185,19.325,16.7625,0,7.03%
207,2019-04-07,20.9975,18.3925,21.34,16.55,0,14.16%
206,2019-04-14,22.735,20.9975,23.045,18.5,0,8.27%
205,2019-04-21,21.7175,22.735,26.3175,20.4075,0,-4.48%
204,2019-04-28,24.0325,21.7175,24.1525,20.76,0,10.66%
203,2019-05-05,26.335,24.0325,27.835,19.74,0,9.58%
202,2019-05-12,28.075,26.335,29.3275,22.39,0,6.61%
201,2019-05-19,16.4675,28.075,30.1825,14.4925,0,-41.34%
200,2019-05-26,16.0675,16.4675,17.335,13.48,0,-2.43%
199,2019-06-02,14.8575,16.0675,16.2325,13.6275,0,-7.53%
