,count,mean,std,min,25%,50%,75%,max
Open,114.0,16996.476754385963,690.8395558381205,15272.65,16476.6125,17108.5,17506.4375,18337.2
High,114.0,17102.018421052628,673.7226235679037,15400.4,16538.4625,17236.425,17598.375,18350.95
Low,114.0,16860.458771929825,700.2052191671531,15183.4,16342.45,16988.4,17386.225,18228.75
Close,114.0,16985.60087719298,698.3851273512478,15293.5,16431.7875,17113.875,17492.6,18308.1
Shares Traded,114.0,299078593.377193,83972996.72840904,183011236.0,245175173.5,277154013.5,319975679.0,651613610.0
Turnover (Rs. Cr),114.0,24839.466315789483,5955.697172201918,16063.24,21050.4775,23780.665,27069.927499999998,52929.35
day_range,114.0,241.55964912280703,103.51460477461976,92.79999999999927,166.17499999999927,217.6750000000011,292.8500000000013,601.5500000000029
day_range_pct,114.0,1.4290467034118985,0.625476829085883,0.5088932941792548,0.9621791280191297,1.3200956232999932,1.716167648297735,3.4227303892143333
oc_range,114.0,126.44517543859637,101.62655020518103,0.7999999999992724,54.475000000000364,93.90000000000055,193.8375000000001,471.64999999999964
oc_range_pct,114.0,0.7477254838224469,0.6089100320763785,0.004381880922381949,0.31366702358291976,0.5576697405457256,1.1191996482788231,2.979045934721847
