,count,mean,std,min,25%,50%,75%,max
Open,23.0,17008.545652173914,690.0056728872601,15832.25,16515.275,17094.95,17536.65,18257.0
High,23.0,17095.280434782613,676.1310429298738,15863.15,16675.825,17291.75,17599.625,18272.25
Low,23.0,16839.28913043478,742.2980516545349,15335.1,16343.400000000001,17071.05,17431.175000000003,18163.8
Close,23.0,16950.915217391303,742.2588531629744,15360.6,16488.074999999997,17222.75,17512.475,18257.8
Shares Traded,23.0,311039678.73913044,80288423.38608961,204954394.0,261415101.5,290280124.0,314613708.5,486445481.0
Turnover (Rs. Cr),23.0,26109.657391304354,5695.5196904346885,16721.68,22001.92,25011.72,28579.9,36650.83
day_range,23.0,255.99130434782614,103.83109497922557,108.45000000000073,199.89999999999964,248.9499999999989,303.47500000000036,528.0499999999993
day_range_pct,23.0,1.5212741593357797,0.6600065520387033,0.5940187325409472,1.164630212717451,1.4628116001047193,1.8484926072457704,3.335280835004496
oc_range,23.0,140.4086956521735,104.49630120919673,0.7999999999992724,60.349999999999454,127.79999999999927,189.8249999999989,471.64999999999964
oc_range_pct,23.0,0.840513670524943,0.6525977294275854,0.004381880922381949,0.3638475747258333,0.7475892003193884,1.094602395713018,2.979045934721847
